[Friday/October 11/10/2024 22:13:40] /media/Anime/Oshi no Ko S02 1080p WEBRip DD+ x265-EMBER/[EMBER] Oshi no Ko S2 - 05.mkv | length=1532.031 | time=181.348
[Friday/October 11/10/2024 22:29:36] /media/Anime/Rezero/ReZero2-4PiP.mp4 | length=1768.576 | time=1768.576
[Friday/October 11/10/2024 22:42:27] /media/Anime/Rezero/ReZero2-5PiP.mp4 | length=1569.3866666667 | time=1569.3333333333
[Friday/October 11/10/2024 22:57:17] /media/Anime/Rezero/ReZero2-6PiP.mp4 | length=1569.0026666667 | time=1568.9666666667
[Friday/October 11/10/2024 23:51:33] /media/Anime/Rezero/ReZero2-7PiP.mp4 | length=1589.248 | time=896.83333333333
[Saturday/October 12/10/2024 00:14:28] /media/Anime/Rezero/ReZero2-7PiP.mp4 | length=1589.248 | time=1589.2
[Saturday/October 12/10/2024 00:26:09] /media/Anime/Rezero/ReZero2-8PiP.mp4 | length=1448.768 | time=1448.768
[Saturday/October 12/10/2024 00:41:39] /media/Anime/Rezero/ReZero2-9PiP.mp4 | length=1493.0133333333 | time=1492.9666666667
[Saturday/October 12/10/2024 01:09:32] /media/Anime/Rezero/ReZero2-10+11PiP.mp4 | length=3158.784 | time=3158.7333333333
[Saturday/October 12/10/2024 01:14:38] /media/Anime/Rezero/ReZero2-12+13PiP.mp4 | length=3237.6533333333 | time=561.56666666667
[Saturday/October 12/10/2024 03:26:03] /media/Anime/Rezero/ReZero2-12+13PiP.mp4 | length=3237.6533333333 | time=3237.6
[Saturday/October 12/10/2024 12:18:16] /media/Anime/Rezero/ReZero2-14+15PiP.mp4 | length=3333.312 | time=3333.2666666667
[Saturday/October 12/10/2024 12:33:05] /media/Anime/Rezero/ReZero2-16PiP.mp4 | length=1770.4533333333 | time=1770.4
[Saturday/October 12/10/2024 12:38:01] /media/Anime/Rezero/ReZeroFrozenBondsPiP.mp4 | length=4579.3493333333 | time=4424.1333333333
[Sunday/October 13/10/2024 11:39:45] /media/Anime/Oshi no Ko S02 1080p WEBRip DD+ x265-EMBER/[EMBER] Oshi no Ko S2 - 05.mkv | length=1532.031 | time=682.724
[Tuesday/October 15/10/2024 21:46:52] /media/Anime/Monogatari/[SubsPlease] Monogatari Series - Off & Monster Season - 13 (1080p) [5DD82D97].mkv | length=1475.117 | time=110.569
[Tuesday/October 15/10/2024 21:47:59] /media/Anime/Monogatari/[SubsPlease] Monogatari Series - Off & Monster Season - 13 (1080p) [5DD82D97].mkv | length=1475.117 | time=116.783
[Tuesday/October 15/10/2024 22:22:56] /media/Anime/Monogatari/[SubsPlease] Monogatari Series - Off & Monster Season - 13 (1080p) [5DD82D97].mkv | length=1475.117 | time=42.376
[Tuesday/October 15/10/2024 22:36:01] /media/Anime/Orb/Orb.On.the.Movements.of.the.Earth.S01E02.And.Now.Im.Going.To.Move.The.Earth.1080p.NF.WEB-DL.AAC2.0.H.264-VARYG.mkv | length=1502.123 | time=965.965
[Tuesday/October 15/10/2024 23:31:02] /media/Anime/[SubsPlease] Mecha-ude - 01 (1080p) [C2AA81E1].mkv | length=1422.059 | time=290.999
[Thursday/October 17/10/2024 14:19:35] /media/Anime/[Judas] Re.Zero kara Hajimeru Isekai Seikatsu (Season 2 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Re.Zero kara Hajimeru Isekai Seikatsu - S02E18.mkv | length=1778.16 | time=1769.935
[Thursday/October 17/10/2024 14:32:09] /media/Anime/[Judas] Re.Zero kara Hajimeru Isekai Seikatsu (Season 2 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Re.Zero kara Hajimeru Isekai Seikatsu - S02E19.mkv | length=1778.29 | time=1769.935
[Thursday/October 17/10/2024 14:32:22] /media/Anime/[Judas] Re.Zero kara Hajimeru Isekai Seikatsu (Season 2 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Re.Zero kara Hajimeru Isekai Seikatsu - S02E20.mkv | length=1770.033 | time=17.142
[Thursday/October 17/10/2024 14:51:30] /media/Anime/[Judas] Re.Zero kara Hajimeru Isekai Seikatsu (Season 2 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Re.Zero kara Hajimeru Isekai Seikatsu - S02E20.mkv | length=1770.033 | time=838.463
[Thursday/October 17/10/2024 14:54:27] /home/raflasia/Downloads/Rezeros2e20pip.mp4 | length=4579.5333333333 | time=2257.7666666667
[Thursday/October 17/10/2024 15:02:11] /media/Anime/[Judas] Re.Zero kara Hajimeru Isekai Seikatsu (Season 2 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Re.Zero kara Hajimeru Isekai Seikatsu - S02E20.mkv | length=1770.033 | time=1769.5579279603
[Thursday/October 17/10/2024 15:17:51] /media/Anime/[Judas] Re.Zero kara Hajimeru Isekai Seikatsu (Season 2 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Re.Zero kara Hajimeru Isekai Seikatsu - S02E21.mkv | length=1778.94 | time=1769.935
[Thursday/October 17/10/2024 15:30:32] /media/Anime/[Judas] Re.Zero kara Hajimeru Isekai Seikatsu (Season 2 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Re.Zero kara Hajimeru Isekai Seikatsu - S02E22.mkv | length=1759.99 | time=1741.778678603
[Thursday/October 17/10/2024 15:56:41] /media/Anime/[Judas] Re.Zero kara Hajimeru Isekai Seikatsu (Season 2 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Re.Zero kara Hajimeru Isekai Seikatsu - S02E23.mkv | length=1770.034 | time=1769.935
[Thursday/October 17/10/2024 16:09:49] /media/Anime/[Judas] Re.Zero kara Hajimeru Isekai Seikatsu (Season 2 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Re.Zero kara Hajimeru Isekai Seikatsu - S02E24.mkv | length=1774.26 | time=1769.935
[Thursday/October 17/10/2024 16:21:11] /media/Anime/[Judas] Re.Zero kara Hajimeru Isekai Seikatsu (Season 2 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Re.Zero kara Hajimeru Isekai Seikatsu - S02E25.mkv | length=1770.033 | time=1770.033
[Thursday/October 17/10/2024 16:40:02] /home/raflasia/Downloads/Rezeros2e23pip.mp4 | length=5073.2 | time=2629
[Thursday/October 17/10/2024 16:40:03] /home/raflasia/Downloads/Rezeros2e23pip.mp4 | length=5073.2 | time=0
[Thursday/October 17/10/2024 16:40:04] /home/raflasia/Downloads/grub2/assets/assets/2k/info.png | length=0 | time=0
[Thursday/October 17/10/2024 16:40:04] /home/raflasia/Downloads/grub2/assets/assets/2k/select_c.png | length=0 | time=0
[Thursday/October 17/10/2024 16:40:04] /home/raflasia/Downloads/grub2/assets/assets/2k/select_e.png | length=0 | time=0
[Thursday/October 17/10/2024 16:41:46] /media/Anime/[SubsPlease] Re Zero kara Hajimeru Isekai Seikatsu - 52 (1080p) [42B7333D].mkv | length=1420.063 | time=3.462
[Thursday/October 17/10/2024 21:01:12] /media/Anime/Re:zero S3/[SubsPlease] Re Zero kara Hajimeru Isekai Seikatsu - 51v2 (1080p) [5DAFE728].mkv | length=5430.056 | time=3512.679
[Thursday/October 17/10/2024 21:41:17] /media/Anime/[SubsPlease] Natsume Yuujinchou S7 - 02 (1080p) [8826534C].mkv | length=1431.21 | time=2.878
[Thursday/October 17/10/2024 21:41:21] /media/Anime/[SubsPlease] Mecha-ude - 01 (1080p) [C2AA81E1].mkv | length=1422.059 | time=293.21
[Thursday/October 17/10/2024 21:41:23] /media/Anime/[SubsPlease] Natsume Yuujinchou S7 - 02 (1080p) [8826534C].mkv | length=1431.21 | time=0
[Thursday/October 17/10/2024 21:41:49] /media/Anime/[SubsPlease] Natsume Yuujinchou S7 - 01 (1080p) [4DB53666].mkv | length=1430.65 | time=21.188
[Thursday/October 17/10/2024 21:50:38] /media/Anime/Re:zero S3/[SubsPlease] Re Zero kara Hajimeru Isekai Seikatsu - 51v2 (1080p) [5DAFE728].mkv | length=5430.056 | time=3691.692
[Thursday/October 17/10/2024 22:22:20] /media/Anime/Re:zero S3/[SubsPlease] Re Zero kara Hajimeru Isekai Seikatsu - 51v2 (1080p) [5DAFE728].mkv | length=5430.056 | time=5430.056
[Thursday/October 17/10/2024 22:42:26] /media/Anime/Re:zero S3/[SubsPlease] Re Zero kara Hajimeru Isekai Seikatsu - 52 (1080p) [42B7333D].mkv | length=1420.063 | time=1419.962
[Thursday/October 17/10/2024 22:42:44] /media/Anime/Re:zero S3/[SubsPlease] Re Zero kara Hajimeru Isekai Seikatsu - 53 (1080p) [BA3C02EA].mkv | length=1420.109 | time=19.603
[Thursday/October 17/10/2024 23:07:35] /media/Anime/Dandadan/[SubsPlease] Dandadan - 03 (1080p) [569BAA9C].mkv | length=1437.083 | time=1436.979
[Friday/October 18/10/2024 00:00:13] /media/Anime/Re:zero S3/[SubsPlease] Re Zero kara Hajimeru Isekai Seikatsu - 53 (1080p) [BA3C02EA].mkv | length=1420.109 | time=1420.003
[Friday/October 18/10/2024 00:23:00] /media/Anime/[SubsPlease] NegaPosi Angler - 01 (1080p) [754F4DFF].mkv | length=1420.132 | time=544.002
[Friday/October 18/10/2024 12:16:27] /media/Anime/[SubsPlease] NegaPosi Angler - 01 (1080p) [754F4DFF].mkv | length=1420.132 | time=1420.045
[Friday/October 18/10/2024 12:16:27] /media/Anime/[SubsPlease] NegaPosi Angler - 01 (1080p) [754F4DFF].mkv | length=1420.132 | time=0
[Friday/October 18/10/2024 12:47:55] /media/Anime/[Erai-raws] Ranma 1_2 (2024) - 01 [1080p][HEVC][Multiple Subtitle][9F41B938].mkv | length=1462.23 | time=1363.737
[Sunday/October 20/10/2024 20:37:23] /media/Movies/Poor.Things.2023.1080p.BluRay.DDP5.1.x265.10bit-GalaxyRG265[TGx]/Poor.Things.2023.1080p.BluRay.DDP5.1.x265.10bit-GalaxyRG265.mkv | length=8500 | time=7980.931
[Sunday/October 20/10/2024 20:37:50] /media/Movies/Poor.Things.2023.1080p.BluRay.DDP5.1.x265.10bit-GalaxyRG265[TGx]/Poor.Things.2023.1080p.BluRay.DDP5.1.x265.10bit-GalaxyRG265.mkv | length=8500 | time=7997.948
[Sunday/October 20/10/2024 20:45:51] /media/Movies/Pulse.2001.1080p.BluRay.x265.HEVC.AAC-SARTRE/Pulse.2001.1080p.BluRay.x265.HEVC.AAC-SARTRE.mkv | length=7137.897 | time=557.223
[Sunday/October 20/10/2024 21:24:37] /media/Movies/Pulse.2001.1080p.BluRay.x265.HEVC.AAC-SARTRE/Pulse.2001.1080p.BluRay.x265.HEVC.AAC-SARTRE.mkv | length=7137.897 | time=2116.156
[Sunday/October 20/10/2024 23:19:45] /media/Movies/Pulse.2001.1080p.BluRay.x265.HEVC.AAC-SARTRE/Pulse.2001.1080p.BluRay.x265.HEVC.AAC-SARTRE.mkv | length=7137.897 | time=6971.548
[Tuesday/October 22/10/2024 10:32:23] /media/Anime/Ranma/[Erai-raws] Ranma 1_2 (2024) - 02 [1080p][Multiple Subtitle][3B9875FD].mkv | length=1462.187 | time=1299.423
[Tuesday/October 22/10/2024 11:10:52] /media/Anime/Ranma/[Erai-raws] Ranma 1_2 (2024) - 03 [1080p][Multiple Subtitle][EA841252].mkv | length=1462.23 | time=1440.481
[Friday/October 25/10/2024 00:49:36] /media/Anime/[SubsPlease] Dandadan - 04 (1080p) [3D2CC7CF].mkv | length=1437.083 | time=1349.766
[Friday/October 25/10/2024 00:56:26] /media/Anime/[SubsPlease] Dandadan - 04 (1080p) [3D2CC7CF].mkv | length=1437.083 | time=298.131
[Friday/October 25/10/2024 00:59:06] /media/Anime/[SubsPlease] Dandadan - 04 (1080p) [3D2CC7CF].mkv | length=1437.083 | time=818.527
[Tuesday/November 05/11/2024 11:49:27] /media/Anime/Oshi no Ko S02 1080p WEBRip DD+ x265-EMBER/[EMBER] Oshi no Ko S2 - 05.mkv | length=1532.031 | time=1504.044
[Tuesday/November 05/11/2024 12:07:32] /media/Anime/Oshi no Ko S02 1080p WEBRip DD+ x265-EMBER/[EMBER] Oshi no Ko S2 - 06.mkv | length=1531.989 | time=1190.398
[Tuesday/November 05/11/2024 13:20:00] /media/Anime/Oshi no Ko S02 1080p WEBRip DD+ x265-EMBER/[EMBER] Oshi no Ko S2 - 06.mkv | length=1531.989 | time=1437.77
[Tuesday/November 05/11/2024 13:22:59] /media/Anime/Oshi no Ko S02 1080p WEBRip DD+ x265-EMBER/[EMBER] Oshi no Ko S2 - 07.mkv | length=1432.014 | time=265.724
[Tuesday/November 05/11/2024 13:50:53] /media/Anime/Oshi no Ko S02 1080p WEBRip DD+ x265-EMBER/[EMBER] Oshi no Ko S2 - 07.mkv | length=1432.014 | time=1348.681
[Tuesday/November 05/11/2024 16:27:26] /media/Anime/Oshi no Ko S02 1080p WEBRip DD+ x265-EMBER/[EMBER] Oshi no Ko S2 - 08.mkv | length=1421.44 | time=1333.04
[Tuesday/November 05/11/2024 16:47:42] /media/Anime/Oshi no Ko S02 1080p WEBRip DD+ x265-EMBER/[EMBER] Oshi no Ko S2 - 09.mkv | length=1502.016 | time=1473.305
[Tuesday/November 05/11/2024 17:05:59] /media/Anime/Oshi no Ko S02 1080p WEBRip DD+ x265-EMBER/[EMBER] Oshi no Ko S2 - 10.mkv | length=1422.004 | time=1329.537
[Tuesday/November 05/11/2024 17:24:15] /media/Anime/Oshi no Ko S02 1080p WEBRip DD+ x265-EMBER/[EMBER] Oshi no Ko S2 - 11.mkv | length=1421.962 | time=1331.83
